acc,city,licence
379280,CHICAGO,Retail Food Establishment
367189,CHICAGO,Limited Business License
5310,CHICAGO,Retail Food Establishment
464383,CHICAGO,Limited Business License
18419,CHICAGO,Consumption on Premises - Incidental Activity
362895,CHICAGO,Tavern
11071,CHICAGO,Retail Food Establishment
422418,CHICAGO,Limited Business License
365987,CHICAGO,Retail Food Establishment
260003,CHICAGO,Retail Food Establishment
428548,CHICAGO,Consumption on Premises - Incidental Activity
26891,CHICAGO,Motor Vehicle Services License
39505,CHICAGO,Peddler License
375355,CHICAGO,Tobacco
48119,CHICAGO,Limited Business License
423126,CHICAGO,Limited Business License
62676,CHICAGO,Tobacco
317394,CHICAGO,Limited Business License
31080,CHICAGO,Regulated Business License
325376,CHICAGO,Regulated Business License
277930,CHICAGO,Limited Business License
279248,CHICAGO,Filling Station
384558,CHICAGO,Mobile Food License
277930,CHICAGO,Limited Business License
52023,CHICAGO,Limited Business License
401156,CHICAGO,Children's Services Facility License
425250,CHICAGO,Consumption on Premises - Incidental Activity
293206,CHICAGO,Limited Business License
313337,CHICAGO,Retail Food Establishment
421745,CHICAGO,Retail Food Establishment
62676,CHICAGO,Package Goods
294634,CHICAGO,Tavern
386365,CHICAGO,Limited Business License
278093,CHICAGO,Retail Food Establishment
58245,CHICAGO,Limited Business License
414976,CHICAGO,Retail Food Establishment
10624,CHICAGO,Tobacco
346323,CHICAGO,Package Goods
85700,CHICAGO,Limited Business License
7689,CHICAGO,Manufacturing Establishments
343156,CHICAGO,Manufacturing Establishments
69919,CHICAGO,Limited Business License
4717,CHICAGO,Retail Food Establishment
463801,CHICAGO,Regulated Business License
88872,CHICAGO,Regulated Business License
85389,CHICAGO,Limited Business License
398781,CHICAGO,Consumption on Premises - Incidental Activity
422506,CHICAGO,Regulated Business License
345112,CHICAGO,Limited Business License
323943,CHICAGO,Tobacco
423046,HIGHLAND PARK,Regulated Business License
463972,GLENVIEW,Pharmaceutical Representative
283641,CHICAGO,Retail Food Establishment
422339,CHICAGO,Limited Business License
423091,OAK PARK,Pharmaceutical Representative
11071,CHICAGO,Retail Food Establishment
463740,CHICAGO,Regulated Business License
464208,CHICAGO,Regulated Business License
52465,CHICAGO,Limited Business License
51280,CHICAGO,Limited Business License
318885,CHICAGO,Retail Food Establishment
267702,CHICAGO,Retail Food Establishment
367231,CHICAGO,Limited Business License
49110,CHICAGO,Limited Business License
44347,CHICAGO,Limited Business License
367582,CHICAGO,Outdoor Patio
59178,CHICAGO,Limited Business License
25043,CHICAGO,Regulated Business License
308330,CHICAGO,Regulated Business License
11071,CHICAGO,Retail Food Establishment
375298,CHICAGO,Retail Food Establishment
402175,ST. LOUIS,Explosives
422392,CHICAGO,Limited Business License
298387,CHICAGO,Limited Business License
344749,CHICAGO,Retail Food Establishment
24723,CHICAGO,Regulated Business License
464229,CHICAGO,Limited Business License
460963,CHICAGO,Consumption on Premises - Incidental Activity
289495,CHICAGO,Package Goods
244134,CHICAGO,Limited Business License
322317,CHICAGO,Limited Business License
385904,CHICAGO,Limited Business License
400048,CHICAGO,Consumption on Premises - Incidental Activity
463931,CHICAGO,Limited Business License
402088,CHICAGO,Regulated Business License
344334,CHICAGO,Retail Food Establishment
16105,CHICAGO,Limited Business License
471277,CHICAGO,Raffles
463812,CHICAGO,Regulated Business License
315924,CHICAGO,Tobacco
367181,CHICAGO,Manufacturing Establishments
385859,CHICAGO,Limited Business License
27836,CHICAGO,Children's Services Facility License
386390,CHICAGO,Regulated Business License
464254,CHICAGO,Regulated Business License
